iter	Passed	Remaining
801	114047	28156
802	114057	27981
803	114266	27856
804	114572	27753
805	114606	27585
806	114961	27493
807	115071	27343
808	115188	27195
809	115280	27040
810	115568	26932
811	115594	26763
812	115926	26664
813	115929	26490
814	116207	26378
815	116209	26204
816	116549	26105
817	116689	25962
818	116963	25849
819	116964	25675
820	117164	25544
821	117394	25421
822	117402	25249
823	117574	25113
824	117809	24989
825	117975	24851
826	118264	24739
827	118705	24658
828	118981	24542
829	119024	24378
830	119107	24222
831	119109	24051
832	119123	23881
833	119422	23769
834	119836	23680
835	119838	23509
836	119851	23340
837	120038	23205
838	120135	23053
839	120138	22883
840	120308	22745
841	120383	22589
842	120511	22443
843	120641	22298
844	120752	22149
845	120799	21989
846	121152	21884
847	121153	21716
848	121561	21620
849	121587	21456
850	121667	21302
851	121736	21146
852	122231	21064
853	122508	20944
854	122560	20785
855	122584	20621
856	122883	20504
857	123288	20404
858	123300	20239
859	123569	20115
860	123584	19951
861	123600	19787
862	123799	19652
863	123843	19493
864	123871	19332
865	123973	19183
866	123976	19018
867	123985	18854
868	124187	18721
869	124504	18604
870	124968	18508
871	125370	18403
872	125388	18240
873	125647	18114
874	125658	17951
875	126012	17837
876	126015	17673
877	126104	17522
878	126149	17365
879	126163	17204
880	126237	17051
881	126442	16916
882	126810	16802
883	126815	16640
884	126852	16483
885	126954	16334
886	127332	16221
887	127702	16106
888	128083	15992
889	128173	15841
890	128486	15718
891	128491	15557
892	128560	15404
893	128878	15280
894	129116	15147
895	129529	15034
896	129535	14874
897	129630	14724
898	129718	14573
899	129904	14433
900	129910	14274
901	129945	14118
902	129958	13960
903	130028	13808
904	130029	13649
905	130131	13501
906	130310	13361
907	130535	13226
908	130677	13082
909	130680	12924
910	130732	12771
911	130926	12633
912	131120	12494
913	131171	12342
914	131175	12185
915	131597	12067
916	131655	11916
917	131892	11781
918	132266	11657
919	132269	11501
920	132271	11345
921	132321	11194
922	132808	11079
923	133268	10961
924	133487	10823
925	133754	10688
926	133762	10533
927	134012	10397
928	134112	10249
929	134239	10104
930	134328	9955
931	134409	9806
932	134617	9667
933	134959	9536
934	134962	9382
935	135011	9231
936	135226	9092
937	135430	8951
938	135469	8800
939	135523	8650
940	135523	8497
941	135593	8348
942	135797	8208
943	135818	8057
944	135820	7904
945	135893	7757
946	136327	7629
947	136511	7487
948	136562	7338
949	137042	7212
950	137061	7062
951	137144	6914
952	137334	6773
953	137656	6637
954	138111	6507
955	138353	6367
956	138464	6221
957	138470	6070
958	138472	5920
959	138527	5771
960	138960	5639
961	138962	5489
962	139135	5345
963	139359	5204
964	139558	5061
965	139621	4914
966	140053	4779
967	140070	4630
968	140091	4481
969	140095	4332
970	140120	4184
971	140128	4036
972	140129	3888
973	140199	3742
974	140281	3596
975	140439	3453
976	140441	3306
977	140884	3169
978	140963	3023
979	140964	2876
980	141246	2735
981	141249	2589
982	141289	2443
983	141341	2298
984	141602	2156
985	141864	2014
986	142076	1871
987	142165	1726
988	142173	1581
989	142369	1438
990	142597	1295
991	142606	1150
992	142970	1007
993	143315	865
994	143327	720
995	143377	575
996	143395	431
997	143732	288
998	143734	143
999	143894	0
